developer_id,age,gender,city,state,marital_status,education_level,company_type,company_size,job_role,employment_type,experience_years,salary_lpa,years_in_current_company,promotion_last_2_years,remote_work_ratio,weekly_work_hours,weekend_work_frequency,night_shift_frequency,layoffs_seen_in_company,number_of_switches,primary_language,tech_stack,ai_tools_usage_hours_per_week,upskilling_hours_per_week,leetcode_problems_solved,certifications_count,side_projects_count,github_activity_score,interview_preparation_hours_weekly,stress_level,burnout_score,anxiety_score,sleep_hours,caffeine_intake_per_day,work_life_balance_rating,imposter_syndrome_score,social_media_usage_hours,physical_activity_days_per_week,therapy_or_counseling,layoff_anxiety_score,ai_replacement_fear_score,job_security_confidence,emergency_savings_months,linkedin_job_search_activity,applied_jobs_last_30_days,burnout_risk_category,likely_to_switch_job,mentally_exhausted,high_layoff_risk
Dev00001,31,Male,Hyderabad,Telangana,Single,M.Tech,Freelance,1-10,Backend Developer,Part-Time,2.2,23.89,1.5,No,100,67.7,Sometimes,Rarely,Yes - Minor (<5%),0,Go,Fiber/Postgresql/Docker,15.8,10.2,128.0,2.0,1.0,3.2,5.9,6.3,7.6,6.6,4.3,2.0,5.6,5.9,2.6,3,Yes - Occasionally,5.1,4.8,7.2,3.0,Low,4,High,No,Yes,No
Dev00002,27,Male,Bengaluru,Karnataka,Single,B.Tech,Product-Based,201-1000,Devops Engineer,Part-Time,3.5,42.48,3.5,No,58,38.7,Rarely,Often,Yes - Minor (<5%),3,Python,Django/Fastapi/Postgres,6.1,5.5,94.0,2.0,2.0,52.2,0.5,1.0,1.1,2.6,7.5,2.0,10.0,5.0,3.4,1,No,1.8,5.5,10.0,8.0,,4,Low,No,No,No
Dev00003,31,Male,Delhi,Delhi,Married,B.Tech,Startup,11-50,Frontend Developer,Freelance,11.9,42.36,2.5,No,57,55.8,Rarely,Never,Yes - Moderate (5-20%),1,Typescript,Next.Js/Prisma/Vercel,2.1,0.7,116.0,1.0,4.0,4.1,1.3,8.1,7.8,7.8,9.5,5.0,3.5,4.4,6.9,1,No,5.2,3.3,5.9,7.0,Low,4,High,Maybe,Yes,No
Dev00004,36,Male,Pune,Maharashtra,Single,Mca,Freelance,1-10,Android Developer,Full-Time,4.5,26.54,3.4,No,100,60.7,Sometimes,Never,No,1,Php,Wordpress/Php8/Redis,2.0,4.2,111.0,3.0,2.0,26.5,1.3,5.9,6.7,5.1,5.5,4.0,4.4,6.7,1.6,3,No,5.2,7.0,8.1,2.0,Very High,6,High,Yes,Yes,No
Dev00005,27,Male,Pune,Maharashtra,Single,B.Tech,Service-Based,5000+,Data Scientist,Full-Time,3.4,15.46,1.2,No,0,54.2,Often,Never,No,3,Java,Spring Boot/Mysql/Aws,1.2,1.0,101.0,2.0,2.0,,1.2,7.2,5.7,6.9,6.9,2.0,4.6,8.6,0.7,5,No,4.5,6.6,8.0,2.0,Very High,4,Medium,No,Yes,No
Dev00006,27,Male,Bengaluru,Karnataka,Married,M.Tech,Consulting,11-50,Frontend Developer,Full-Time,5.3,16.31,0.3,Yes,82,40.4,Always,Never,Yes - Minor (<5%),1,Scala,Spark/Akka/Kafka,6.1,8.4,31.0,4.0,3.0,22.4,2.3,4.4,2.2,2.2,8.7,2.0,7.8,5.6,4.7,5,No,5.0,6.0,7.1,1.0,Medium,5,Low,No,No,No
Dev00007,36,Male,Pune,Maharashtra,Married,Mca,Consulting,201-1000,Data Scientist,Full-Time,2.4,17.12,1.6,No,57,58.8,Often,Rarely,Yes - Minor (<5%),1,Python,Flask/Redis/Aws,4.0,2.3,93.0,1.0,1.0,9.2,2.1,6.6,7.6,7.5,6.5,3.0,4.5,4.8,1.1,7,Yes - Occasionally,4.4,4.5,7.5,3.0,Very High,7,High,Yes,Yes,No
Dev00008,32,Female,Ahmedabad,Gujarat,Married,Mca,Product-Based,51-200,Backend Developer,Full-Time,3.4,30.92,0.8,No,64,45.1,Sometimes,Never,Yes - Moderate (5-20%),0,Scala,Spark/Akka/Kafka,8.2,0.5,35.0,4.0,0.0,13.0,7.9,4.7,1.0,2.6,7.5,2.0,9.5,4.2,0.9,3,No,4.4,2.0,6.8,6.0,Medium,7,Low,No,No,No
Dev00009,26,Male,Hyderabad,Telangana,Single,B.Tech,Product-Based,51-200,Cybersecurity Analyst,Full-Time,5.9,39.93,2.8,Yes,35,53.0,Often,Rarely,No,4,Python,Django/Fastapi/Postgres,1.9,3.2,98.0,2.0,2.0,48.4,1.0,4.1,3.6,1.9,6.6,2.0,7.1,4.9,5.1,5,No,1.0,2.0,9.0,5.0,Low,5,Low,No,No,No
Dev00010,31,Male,Kochi,Kerala,Married,M.Tech,Product-Based,1001-5000,Backend Developer,Full-Time,10.6,39.76,2.8,No,61,44.3,Rarely,Never,No,2,Java,Hibernate/Oracle/Jenkins,2.7,3.4,109.0,3.0,2.0,15.5,8.5,4.0,1.1,2.5,5.5,3.0,10.0,4.8,1.1,3,No,1.2,2.1,9.1,7.0,,3,Low,No,No,No
